[memory ][Fri Jul 23 03:18:59 2021][18813] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[memory ][Fri Jul 23 03:18:59 2021][18813] Heap size: 8388608KB, maximal heap size: 8388608KB, nursery size: 4194304KB.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>  - start time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <type>   - OC (old collection) or YC (young collection).
[memory ][Fri Jul 23 03:18:59 2021][18813] <end>    - end time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <before> - memory used by objects before collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <after>  - memory used by objects after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <heap>   - size of heap after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <time>   - total time of collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813] <pause>  - total sum of pauses during collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813]            Run with -Xverbose:gcpause to see individual phases.
[memory ][Fri Jul 23 03:18:59 2021][18813] Running on hypervisor Unknown (but probably running on a hypervisor)
[memory ][Fri Jul 23 03:21:45 2021][18813] [YC#1] 165.813-166.126: YC 4780953KB->1959097KB (8388608KB), 0.313 s, sum of pauses 312.595 ms, longest pause 312.595 ms.
[memory ][Fri Jul 23 03:22:29 2021][18813] [YC#2] 209.112-209.280: YC 5115231KB->2292791KB (8388608KB), 0.168 s, sum of pauses 167.615 ms, longest pause 167.615 ms.
[memory ][Fri Jul 23 03:22:47 2021][18813] [YC#3] 227.916-227.955: YC 5441771KB->2313535KB (8388608KB), 0.039 s, sum of pauses 38.227 ms, longest pause 38.227 ms.
[memory ][Fri Jul 23 03:23:07 2021][18813] [YC#4] 247.287-247.305: YC 5464834KB->2320575KB (8388608KB), 0.018 s, sum of pauses 17.300 ms, longest pause 17.300 ms.
[memory ][Fri Jul 23 03:23:25 2021][18813] [YC#5] 266.014-266.033: YC 5471245KB->2326591KB (8388608KB), 0.019 s, sum of pauses 18.471 ms, longest pause 18.471 ms.
[memory ][Fri Jul 23 03:23:44 2021][18813] [YC#6] 284.493-284.513: YC 5475547KB->2330183KB (8388608KB), 0.020 s, sum of pauses 19.945 ms, longest pause 19.945 ms.
[memory ][Fri Jul 23 03:24:03 2021][18813] [YC#7] 303.251-303.270: YC 5481592KB->2337087KB (8388608KB), 0.019 s, sum of pauses 18.550 ms, longest pause 18.550 ms.
[memory ][Fri Jul 23 03:24:21 2021][18813] [YC#8] 321.938-321.956: YC 5488066KB->2343815KB (8388608KB), 0.017 s, sum of pauses 17.194 ms, longest pause 17.194 ms.
[memory ][Fri Jul 23 03:24:40 2021][18813] [YC#9] 340.397-340.415: YC 5493026KB->2347921KB (8388608KB), 0.018 s, sum of pauses 17.395 ms, longest pause 17.395 ms.
[memory ][Fri Jul 23 03:24:58 2021][18813] [YC#10] 359.043-359.060: YC 5496902KB->2351792KB (8388608KB), 0.017 s, sum of pauses 16.419 ms, longest pause 16.419 ms.
[memory ][Fri Jul 23 03:25:17 2021][18813] [YC#11] 377.852-377.878: YC 5507302KB->2364095KB (8388608KB), 0.026 s, sum of pauses 25.455 ms, longest pause 25.455 ms.
